gene_symbol,disease_name,score
MAPT,Alzheimer's Disease,0.96
APP,Alzheimer's Disease,0.96
APOE,Alzheimer's Disease,0.96
PSEN1,Alzheimer's Disease,0.96
BACE1,Alzheimer's Disease,0.96
PSEN2,Alzheimer's Disease,0.87
TREM2,Alzheimer's Disease,0.96
SNCA,Alzheimer's Disease,0.91
ACHE,Alzheimer's Disease,0.91
BDNF,Alzheimer's Disease,0.96
CLU,Alzheimer's Disease,0.91
GSK3B,Alzheimer's Disease,0.91
BCHE,Alzheimer's Disease,0.96
TNF,Alzheimer's Disease,1
SORL1,Alzheimer's Disease,0.87
IL1B,Alzheimer's Disease,1
ACE,Alzheimer's Disease,0.96
BIN1,Alzheimer's Disease,0.91
PICALM,Alzheimer's Disease,0.83
ABCA7,Alzheimer's Disease,0.83
AGER,Alzheimer's Disease,0.91
TOMM40,Alzheimer's Disease,0.87
IGF1,Alzheimer's Disease,0.96
GRN,Alzheimer's Disease,0.96
PPARG,Alzheimer's Disease,0.96
ADAM10,Alzheimer's Disease,0.91
CD33,Alzheimer's Disease,0.87
TTR,Alzheimer's Disease,0.91
APOC1,Alzheimer's Disease,0.78
NECTIN2,Alzheimer's Disease,0.83
SNCA,Parkinson's Disease,0.91
LRRK2,Parkinson's Disease,0.87
PRKN,Parkinson's Disease,0.91
GBA1,Parkinson's Disease,0.91
PINK1,Parkinson's Disease,0.91
PARK7,Parkinson's Disease,0.96
MAPT,Parkinson's Disease,0.96
TH,Parkinson's Disease,0.87
GDNF,Parkinson's Disease,0.91
BDNF,Parkinson's Disease,0.96
MAOB,Parkinson's Disease,0.96
VPS35,Parkinson's Disease,0.83
NR4A2,Parkinson's Disease,1
SLC6A3,Parkinson's Disease,0.87
UCHL1,Parkinson's Disease,0.91
ATP13A2,Parkinson's Disease,0.83
DDC,Parkinson's Disease,0.91
SLC18A2,Parkinson's Disease,0.87
PPARGC1A,Parkinson's Disease,0.91
DRD2,Parkinson's Disease,0.96
SOD1,Parkinson's Disease,0.96
TARDBP,Parkinson's Disease,0.91
IL1B,Parkinson's Disease,1
SNCB,Parkinson's Disease,0.74
SYNJ1,Parkinson's Disease,0.78
TFAM,Parkinson's Disease,0.87
TNF,Parkinson's Disease,1
CYP2D6,Parkinson's Disease,0.96
IL6,Parkinson's Disease,1
FBXO7,Parkinson's Disease,0.78
DRD4,ADHD,0.96
DRD5,ADHD,0.91
GNB5,ADHD,0.74
BAIAP2,ADHD,0.7
CRY1,ADHD,0.83
TCF20,ADHD,0.7
MECP2,ADHD,0.96
CLOCK,ADHD,0.87
FKBP5,ADHD,0.96
SLC6A3,ADHD,0.87
BDNF,ADHD,0.96
DRD2,ADHD,0.96
SLC6A4,ADHD,0.96
HTR2A,ADHD,0.96
CSMD2,ADHD,0.74
ADGRL1,ADHD,0.74
FERRY3,ADHD,0.39
SCAPER,ADHD,0.96
MAP1B,ADHD,0.83
COMT,ADHD,0.96
MAOA,ADHD,0.96
DBH,ADHD,0.91
ADGRL3,ADHD,0.87
FMR1,ADHD,0.91
GRIN2A,ADHD,0.91
MAOB,ADHD,0.96
GRM7,ADHD,0.91
CACNA1C,ADHD,0.91
SLC2A9,ADHD,0.74
THRB,ADHD,0.91
